AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,Tags,x_ResourceGroupName
us-central1-a,143.44,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,143.44,5.927000,143.44,INV-GOO-202608,Google,143.44,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,276.39,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,276.39,11.854000,276.39,INV-GOO-202608,Google,276.39,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,35.02,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,35.02,1.479000,35.02,INV-GOO-202608,Google,35.02,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,45.24,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,2300,GB-Mo,45.24,0.020000,45.24,INV-GOO-202608,Google,45.24,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,96.35,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,96.35,3.958000,96.35,INV-GOO-202608,Google,96.35,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,181.91,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,181.91,7.500000,181.91,INV-MIC-202608,Microsoft,181.91,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,368.47,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,368.47,15.000000,368.47,INV-MIC-202608,Microsoft,368.47,15.000000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm2,core-app-vm2,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-E8S,SKUP-SKU-AZ-E8S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,53.64,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,SQL Database usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,53.64,2.292000,53.64,INV-MIC-202608,Microsoft,53.64,2.292000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Sql/servers/sql-core/databases/db-core,db-core,Microsoft.Sql/servers/databases,Database,SQL Database,SKU-AZ-SQL-GP,SKUP-SKU-AZ-SQL-GP,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
us-east-1-a,209.02,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Elastic Compute Cloud usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,209.02,8.750000,209.02,INV-AWS-202608,AWS,209.02,8.750000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8,marketing-worker-01,AWS::EC2::Instance,Compute,Amazon Elastic Compute Cloud,SKU-AWS-M5-2XL,SKUP-SKU-AWS-M5-2XL,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,63.17,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Simple Storage Service usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,2826,GB-Mo,63.17,0.023000,63.17,INV-AWS-202608,AWS,63.17,0.023000,OnDemand,2826,GB-Mo,AWS,AWS,us-east-1,us-east-1,arn:aws:s3:::marketing-assets-prod,marketing-assets-prod,AWS::S3::Bucket,Storage,Amazon Simple Storage Service,SKU-AWS-S3-STD,SKUP-SKU-AWS-S3-STD,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
